FullTime,DateHour,hour,Code,Value,X,Y
2019-12-23T16:42:44.815141,,,c53,187,154,167
2019-12-23T16:42:44.815141,,,c54,137,151,170
2019-12-23T16:42:44.834309,,,c53,185,147,172
2019-12-23T16:42:44.834309,,,c54,140,144,174
2019-12-23T16:42:44.852415,,,c53,182,139,176
2019-12-23T16:42:44.852415,,,c54,142,136,178
2019-12-23T16:42:44.871321,,,c53,179,131,179
2019-12-23T16:42:44.871321,,,c54,145,127,180
2019-12-23T16:42:44.890256,,,c53,177,123,181
2019-12-23T16:42:44.890256,,,c54,148,118,182
2019-12-23T16:42:44.910190,,,c53,174,114,183
2019-12-23T16:42:44.910190,,,c54,151,110,184
2019-12-23T16:42:44.929081,,,c53,170,105,184
2019-12-23T16:42:44.929081,,,c54,154,105,184
2019-12-23T16:42:44.948404,,,c53,167,105,184
2019-12-23T16:42:44.948404,,,c54,156,54,180
2019-12-23T16:42:44.967544,,,c53,164,54,180
2019-12-23T16:42:44.967544,,,c54,159,54,180
2019-12-23T16:42:44.986647,,,c53,160,54,180
2019-12-23T16:42:44.986647,,,c54,162,54,180
2019-12-23T16:42:45.005735,,,c53,158,45,174
2019-12-23T16:42:45.005735,,,c54,165,45,174
2019-12-23T16:42:45.024809,,,c53,154,45,174
2019-12-23T16:42:45.024809,,,c54,167,45,174
2019-12-23T16:42:45.043724,,,c53,151,36,172
2019-12-23T16:42:45.043724,,,c54,170,36,172
2019-12-23T16:42:45.062712,,,c53,147,35,172
2019-12-23T16:42:45.062712,,,c54,172,33,171
2019-12-23T16:42:45.081632,,,c53,144,32,170
2019-12-23T16:42:45.081632,,,c54,174,32,170
2019-12-23T16:42:45.100771,,,c53,139,32,170
2019-12-23T16:42:45.100771,,,c54,176,32,170
2019-12-23T16:42:45.119783,,,c53,136,13,148
2019-12-23T16:42:45.119783,,,c54,178,13,148
2019-12-23T16:42:45.138841,,,c53,131,13,148
2019-12-23T16:42:45.138841,,,c54,179,13,147
2019-12-23T16:42:45.157928,,,c53,127,13,147
2019-12-23T16:42:45.157928,,,c54,180,13,145
2019-12-23T16:42:45.177059,,,c53,123,13,145
2019-12-23T16:42:45.177059,,,c54,181,14,143
2019-12-23T16:42:45.196141,,,c53,118,14,143
2019-12-23T16:42:45.196141,,,c54,182,14,141
2019-12-23T16:42:45.215154,,,c53,114,14,141
2019-12-23T16:42:45.215154,,,c54,183,15,139
2019-12-23T16:42:45.233543,,,c53,110,15,139
2019-12-23T16:42:45.233543,,,c54,184,16,136
2019-12-23T16:42:45.252961,,,c53,105,16,136
2019-12-23T16:42:45.271994,,,c57,-1,17,134
2019-12-23T16:42:45.348467,,,c57,47917,17,134
2019-12-23T16:42:45.348467,,,c53,54,17,132
2019-12-23T16:42:45.348467,,,c54,180,17,132
2019-12-23T16:42:45.348467,,,c58,20,17,131
2019-12-23T16:42:45.366355,,,c58,21,17,131
2019-12-23T16:42:45.385189,,,c57,-1,17,130
2019-12-23T16:42:45.442699,,,c57,47918,17,130
2019-12-23T16:42:45.442699,,,c53,45,17,129
2019-12-23T16:42:45.442699,,,c54,174,17,128
2019-12-23T16:42:45.442699,,,c58,34,17,128
2019-12-23T16:42:45.461391,,,c57,-1,17,128
